City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Iqaluit,CA,63.7506,-68.5145,24.53,74,75,0.0,broken clouds
90,Port Elizabeth,ZA,-33.918,25.5701,66.09,95,0,4.61,clear sky
91,Hobyo,SO,5.3505,48.5268,76.78,72,10,15.79,clear sky
92,Nome,US,64.5011,-165.4064,5.07,78,0,11.5,clear sky
93,Bathsheba,BB,13.2167,-59.5167,81.21,89,20,14.97,few clouds
94,Balabac,PH,7.9868,117.0645,80.33,84,86,8.12,overcast clouds
95,Palmer,US,42.1584,-72.3287,32.45,66,20,12.66,few clouds
96,Erzin,TR,36.9559,36.2,54.9,84,100,4.83,overcast clouds
97,Chulman,RU,56.8479,124.9104,-46.82,100,100,3.2,overcast clouds
98,Siderno,IT,38.2779,16.302,60.33,85,78,11.5,broken clouds
99,Norman Wells,CA,65.282,-126.8329,1.44,85,75,0.0,light snow
100,Yertsevo,RU,60.7966,40.086,16.12,93,100,9.19,overcast clouds
101,Touros,BR,-5.1989,-35.4608,78.94,78,50,11.79,scattered clouds
102,Narrabri,AU,-30.3167,149.7833,70.52,35,8,5.01,clear sky
103,Vao,NC,-22.6667,167.4833,75.69,63,0,6.04,clear sky
104,Adrar,MR,20.5022,-10.0711,73.36,23,0,9.15,clear sky
105,Saldanha,ZA,-33.0117,17.9442,66.25,98,18,12.06,few clouds
106,Clyde River,CA,70.4692,-68.5914,23.23,74,100,21.85,overcast clouds
107,Nadbai,IN,27.2333,77.2,54.5,34,38,5.79,scattered clouds
108,Pervoye Maya,RU,56.164,44.7196,9.99,98,72,5.12,broken clouds
109,Banjar,ID,-8.19,114.9675,81.37,82,80,3.24,broken clouds
110,Torbay,CA,47.6666,-52.7314,39.58,97,100,14.97,fog
111,Homer,US,59.6425,-151.5483,33.67,93,100,14.97,light snow
112,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,73,40,5.75,scattered clouds
113,Taitung,TW,22.7583,121.1444,68.27,77,75,6.91,broken clouds
114,Devin,BG,41.7433,24.4,41.05,96,100,6.08,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,67.03,63,0,13.51,clear sky
116,Atuona,PF,-9.8,-139.0333,78.24,74,30,15.39,scattered clouds
117,Dunedin,NZ,-45.8742,170.5036,63.5,72,100,7.36,overcast clouds
118,Camacha,PT,33.0833,-16.3333,60.22,77,40,23.02,scattered clouds
119,Madhugiri,IN,13.6606,77.2092,64.17,94,10,4.21,clear sky
120,Khatanga,RU,71.9667,102.5,-0.72,96,100,12.53,overcast clouds
121,Klaksvik,FO,62.2266,-6.589,31.12,64,100,25.9,light snow
122,Mastic Beach,US,40.7668,-72.8521,35.55,66,0,14.0,clear sky
123,Texistepeque,SV,14.1333,-89.5,78.17,77,44,2.59,scattered clouds
124,Sisimiut,GL,66.9395,-53.6735,23.0,92,100,11.74,light snow
125,Bengkulu,ID,-3.8004,102.2655,74.93,78,100,3.06,overcast clouds
