City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Byron Bay,AU,74.95,overcast clouds,-28.65,153.6167,Backpackers Inn
162,Te Anau,NZ,69.48,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
163,Tomatlan,MX,75.72,few clouds,19.9333,-105.25,El Salvial
166,Hualmay,PE,70.88,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
169,Bosaso,SO,71.1,clear sky,11.2842,49.1816,Red Sea Hotel
171,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
172,Sambava,MG,73.78,broken clouds,-14.2667,50.1667,Melrose
173,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
180,Ta Khmau,KH,75.25,few clouds,11.4833,104.95,សណ្ឋាគារ និង ភោជនីយដ្ឋាន ត្រានីកា
183,Gamboma,CG,70.27,overcast clouds,-1.8764,15.8644,Residence N'Keni
185,Sinnamary,GF,77.67,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
186,Pisco,PE,69.03,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
188,Kota Belud,MY,79.14,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
193,Gorom-Gorom,BF,72.9,broken clouds,14.4439,-0.2361,
197,Tuatapere,NZ,69.31,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
200,Atar,MR,75.2,clear sky,20.5169,-13.0499,Oumou Elghoura
222,Sao Lourenco Do Sul,BR,68.47,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
223,Avarua,CK,77.05,haze,-21.2078,-159.775,Paradise Inn
229,Bandarbeyla,SO,74.41,broken clouds,9.4942,50.8122,JABIR HOTEL
231,Seguela,CI,74.77,clear sky,7.9611,-6.6731,Lot 1 jeune fille
236,Omboue,GA,75.85,light rain,-1.5746,9.2618,Hotel Olako
240,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
243,Tevaitoa,PF,79.97,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
244,Acarau,BR,79.59,broken clouds,-2.8856,-40.12,castelo pizzaria
245,Hatillo,PR,78.12,clear sky,18.4863,-66.8254,El Buen Hotel
248,Fougamou,GA,71.17,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
250,Coahuayana,MX,76.35,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
252,La Romana,DO,75.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
253,Araouane,ML,71.42,clear sky,18.9048,-3.5265,
256,Maracaibo,VE,77.68,overcast clouds,10.6317,-71.6406,Motel Aladdin
257,Necochea,AR,67.05,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
259,Taoudenni,ML,78.13,clear sky,22.6783,-3.9836,
264,Rambha,IN,71.13,clear sky,19.5167,85.1,OTDC Panthanivas - Rambha
265,Namikupa,TZ,70.45,overcast clouds,-10.8333,39.6,
268,Hermosillo,MX,67.91,clear sky,29.0667,-110.9667,ibis Hermosillo
271,Sankeshwar,IN,67.64,overcast clouds,16.2667,74.4833,Rajdhani Hotel
272,La Orilla,MX,77.25,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
273,Xuddur,SO,69.15,broken clouds,4.1213,43.8894,Banjanay Hotel
275,Cuddapah,IN,68.32,scattered clouds,14.4667,78.8167,OYO 65430 Ysr Residency
277,Port Lavaca,US,68.05,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
279,Abonnema,NG,78.89,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
280,Beira,MZ,75.29,light rain,-19.8436,34.8389,Beira Terrace Hotel
284,Axim,GH,78.66,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
289,Marsh Harbour,BS,74.34,broken clouds,26.5412,-77.0636,Abaco Beach Resort
